Name,Ratings,Review,Cost
Viraj Shinde,5.0 out of 5 stars,"
I was confused what I should buy when I was looking for controllers. I usually play TPP games like the ones from the Assassin's creed series, Batman: Arkham series, GTA 5,  Middle Earth series, etc.I was confused between this one and the ones offered by Logitech. Having owned a Logitech F310 before I was happy with Logitech products but not completely satisfied.The Xone controller really hit that spot and left me in awe right from the first moment I picked it up. Some people don't like the design but I believe it's great for long hours of gaming. The triggers are very smooth but I wish they had a setting that enabled the users to toggle between range input and click input - that part really gets annoying when you're playing a shooter and don't really need the range input.Overall I rate this 8/10. Got what I paid for.
",4180.0
Shayan,4.0 out of 5 stars,"
There is no doubt regarding the quality of the controller. Buttons are very responsive, the shape and design makes it easier to hold the controller for longer periods without any kind of discomfort. I am using the inbuilt bluetooth on my laptop (Windows 10.1) to connect the controller.But the packaging was pathetic.
",4180.0
Avinash Venugopal,5.0 out of 5 stars,"
Zero hassles while playing on a Windows 10 PC. The controller itself is sturdy, palm-fitting and well-weighted. Sticks are smooth and buttons are nice and tactile. The rumble is also sharp and lovely. But really the best feature is the trigger. Playing Shadow of Mordor is a dream using this controller, and the triggers just feel right for using the bow/stealth. Bluetooth is also a breeze - just turn the controller on and it pairs automatically (I only had to re-pair it one time). All all an amazing controller, much better than the 360 one. A little expensive but a worthy investment.
",4180.0
Gokul Balram,5.0 out of 5 stars,"
Coming from a Redgear wired (Xbox 360 layout) controller, this was a massive upgrade. The controller has even weight, the build is solid, the sticks feel amazing, the triggers are nice (have their own vibration motors and feel great), the texture also has a very nice matte finish, which feels great in the hand. Overall, a lovely controller which I feel is worth the money.I had initially written how the one major flaw that the controller had was inability to reconnect to the PC, but that no longer seems to be a problem, it connects as soon as I turn the controller on. I am unsure of what happened earlier and why I had to reconnect every time I had to use it, but as long it works here on, I have no complaints.PS: The provided 3.5mm headphone jack only work through Micro USB, it does not work over Bluetooth!
",4180.0
dvn,5.0 out of 5 stars,"
I use this with my desktop (you will need a bluetooth adapter if your desktop doesn't have Bluetooth) and it was easy to pair in Windows 10. Once you're paired, you can turn this on and off whenever and it will connect to your system automatically.Battery life is really long with good batteries (duracell). I think I've gotten through 4-5 days with a lot of usage, so my estimate is around 30+ hours. I'd recommend getting rechargable AAs though, these don't last as long (±20 hours) but you won't need to keep buying new batteries every other week.In terms of performance, I've used it to play Forza, Monster Hunter, Witcher, FIFA and a whole bunch of other games, and it works the best out of any other controllers I've used with PC. Force feedback is pretty on-point in Forza. The analog sticks may take some getting used to due to the unconventional layout, but if you're an Xbox gamer you should have no issues.The PS4 Dualshocks are almost as good, but they're a pain to set up with Windows and honestly not worth the trouble for most people. If you need a controller that is well-built and easy to set up and use, just buy this.
",4180.0
Jack,5.0 out of 5 stars,"
anyone whose buying this is a super controller with good finishing and good hand grip light weight range is pretty good too (note anyone whose buying this without an xbox wireless dongle needs to have  A BLUETOOTH 4.0 DONGLE FOR PC ANY PREVIOUS VERSION WILL NOT WORK ) this is a good build quality  buy without any doubt
",4180.0
Abhishek Ballani,4.0 out of 5 stars,"
I have owned two Xbox controllers before. One has a thumstick drift issue while the other has a broken bumper. The latter is still usable in every aspect just by fixing it with a tape. Both worked for almost two years without any issues and they still do. And both were black.This is my third Xbox controller. A white controller looks much better when compared to a standard black one. The overall built quality is good except the bumpers. Works great even with PC. Any micro USB cable can be used to connect it with a PC. Negligible lag when connected using Bluetooth. There is a 3.5 mm jack which can be used for listening to game audio and also for multiplayer chat. Haven't tried with any Android device but will update my review later.
",4180.0
Nazirwa,5.0 out of 5 stars,"
Granted that the cost is high, but the product is premium as well. The sticks are buttery and so nice, the vibrations are subtle and distinguishable. These you will not get in other controllers. This is one of the best controllers out there without doubt and it was a treat to use it. Simply Awesome!
",4180.0
Bullo Tabin,1.0 out of 5 stars,"
I asked for replacement, because LT RT wasn't working, and windows react randomly when connected with controller.And I'm very suspicious about the products genuineness, misalignments, Different box, faded colours.EDIT: I've replaced the product and this time LT,RT working fine but when i check it at ""windows device and printer>game controller setting"" the right analog stick y rotation is bit increased by default. I don't know what's the reason but Amazon's quality check has been very disappointing for me recently.But the products still working fine and I'll now keep it because I'm tired of all the hassle I've been facing from the start of great indian sale 12 Oct 2019.
",4180.0
Tathagata Sengupta,5.0 out of 5 stars,"
Bought it as a 2nd controller for my Xbox. It is working as expected.Pros :1. Seemless bluetooth connectivity2. Runs on all platforms (including Android)3. ErgonomicsCons :1. Battery based instead of inbuilt rechargable one2. Analog stick positions are wierd for me coming from a PS layout3. Could've come with a USB cable
",4180.0
SHUR1KEN SKRIBBLES,5.0 out of 5 stars,"
As an owner of multiple XBOX One controllers from different regions, I can say that this is absolutely genuine and legit. This is the latest iteration/version with the built-in Bluetooth and 3.5mm headphone jack.Packaging: The packaging was done right. The best part was that 2 AA batteries were included in the packaging. Props for that.Quality: The controller is very well-built, it will take thousands of hours of your gaming sessions like a beast, of course provided that you aren't throwing it around every hour or so. With that said, it is very durable as well, it can take a few falls or throws (I have experienced it, LOL). I'd recommend you to get a silicone cover as I have to increase the longevity, preserve the look, and add some grip to the controllerConnectivity/Compatibility: Wired connectivity is not an issue with any of the Windows versions. However, wireless connectivity with Windows 10 is native (automatically supported, drivers downloaded and installed, games automatically detect and configure), but requires a little tweaking (manually installing drivers, tweaking c360 settings for each game) with Windows 7. I used to have Windows 7 when I got this, but when I got to Windows 10, it was absolute heaven as all games directly and automatically started detecting the controller and if the controller went to sleep and was woken up again, it seamlessly connected with the system again. It is highly recommended you get Windows 10 for this, it is well worth it3.5mm Jack: The audio through the 3.5mm jack is just as it should be, it is very good. Although, you can only use headphones with the controller when your controller is in a wired connection with your system. When your controller is wirelessly connected to the system, the headphones won't work. Wireless connection + headphones support is only there for using with an XBOX OneUPDATE: I have had this controller for 2 years now. Still works, feels and looks the same as day one. Microsoft doesn't play games (LOL).
",4180.0
Subhajit M.,2.0 out of 5 stars,"
The product sent to me is defective . It is not connecting via Bluetooth with windows 10 pc with latest software update. After delivery it is showing not returnable. I have contacted xbox customer service team who again confirmed me that the product is defective after going through all the process they offered me. Don't know what to do with the product. Horrible experience with amazon.Please don't break our trust.Finally, the money returned back to me. Thanks amazon.
",4180.0
Dev Joshi,5.0 out of 5 stars,"
The controller is as good as it looks in the picture. To the peoples who think that it comes with a rechargeable batteries then they are wrong. This controller comes with 2AA Duracell batteries and which are NON-RECHARGEABLE. You can use any 2AA batteries to power this controller or you can power it using the usb cable. You just need to connect it once to your windows 10 PC and then after that you just need keep the Bluetooth switched on in your PC and when you start the controller it will connect automatically. The main point is the force feedback. This controller has a very good force feedback compared to the older Xbox controller and compared to other normal controllers. Also, buttons and sticks are smooth to a great extend. The only problem is the weight of the controller but that’s the price I think anyone can live with. Overall, a great product to use money on.
",4180.0
Rohit,4.0 out of 5 stars,"
This product is good in quality but main issue is there is no power cable provided, u have to buy separately, if you use AA batteries then to complete a whole video game ex, ASSASIN CREED ODYSSEY u have to spend 500 rs or more on batteries to complete play on batteriesSecond thing no Bluetooth adaptor provided so u have to buy a 4.0 Bluetooth too which costs 400 rs approx. Overall to operate this remote becomes costly.Another thing that I noticed when u start the PC it very easily connects WITH PC  but if accidently disconnects during gameplay then if not easily connected... Sometimes it takes 10-15 minutes to reconnect and sometimes u have to restart the computer. But build quality is good and overall performance is good
",4180.0
Amen,5.0 out of 5 stars,"
No hassles. No worries.You just need the damn Microsoft connector to use the inbuilt jack.I'm using it with windows 10 with a bluetooth connection. Tekken, fifa, rainbow 6 siege, every game just feels natural.Very comfortable. You may want to get that rubber grips for analog control sticks.
",4180.0
Siddharth,5.0 out of 5 stars,"
Good quality 100% original. You can also use your mobile charging cable to connect just plug n play. I bought it for Rs 3500. Its the best controller just go for it
",4180.0
Rohit Nair,5.0 out of 5 stars,"
I know for some people this one can be real pricy, but take a look and compare this controller with the Logitech one and you’ll find that it has much better feedback and really nice vibration feedback. But let’s just put all it to a side and let me tell you what I felt about using this controller after a week. First things first, thanks to amazon for delivering this product really fast. Now one major problem with the controller is that it’s very slippery. Although being made out of plastic it does have some weight to it but the material used on the body is very slippery to hold, but you can just get an Xbox cover right away from amazon which will probably not cost you more than 300 Rs. beyond all that the feedback from this controller is really impressive and ofcourse the vibration feedback too. Despite having such a comfort design, one other problem which I faced was to setting it up to Bluetooth. Now Microsoft does provide you two Duracell batteries inside the box, but it doesn’t work all the time when put inside the controller. But I managed to start up the Bluetooth issue.This is one best controller you can own.
",4180.0
Antarip Review Desk,4.0 out of 5 stars,"
Xbox one s controller are great but very delicate.Pros:1. Good design which let you play long hours.2. Ideal for people with medium to large hand.3. Support most of the OS and devices. Like Windows, Mac.4. Have wide range of colour varient5. Easy to clean.6. Reasonable price.Cons:1. Very delicate and cannot with stand hard fall.I am a Xbox console lover so definitely recommend this product.
",4180.0
Shikha,5.0 out of 5 stars,"
I bought this as upgrade to my existing Xbox 360 controller which I was using to play on the PC (Rocket league, Witcher, Dark Souls, Super Meat Boy, Trials Fusion, Street Fighter V). I prefer the XBox thumbstick layout (which is asymmetrical) to the PS thumbstick layout (which is symmetrical) . So when my Xbox 360 controller started having issues I naturally wanted the Xbox One controller.The controller works really well and I was used to it within a few days. The Xbox 360 controller was very well made and the Xbox One Controller maintains the quality. Buttons are crisp, responsive and easy to press. The controller itself is very comfortable to hold and has a great grip. I'm hardly thinking about the controller when playing -- which means that it works well and responds really well.For some reason I wasn't able to pair the controller with the PC via Bluetooth. The PC sees the device but refuses to pair with it (this is a Win10 PC with latest updates). However, I had a spare micro USB cable lying around and it works perfectly with that. Now I don't need to worry about batteries :).All in all, a great product.
",4180.0
Ekwinder S Saini,1.0 out of 5 stars,"
It is a nice looking controller and feels good in the hand and was good till it worked but the left thumbstick drifts back to the left when trying to point to right within one month of buying it. Cannot really recommend it at all. Most of the Xbox controller's I have used in the last 3 years have not been well made at all(including Elite controller which did not even last one year) but this one has been the least durable. I really think I would move over to Playstation in the future because Microsoft can't seem to make a single durable controller.
",4180.0
Nikhil Anand,5.0 out of 5 stars,"
One of the best wireless controller out there in market. Blutooth connectivity is very simple as described (inbuilt bluetooth or else bluetooth dongle will get the job done on your PC). Range of bluetooth is good enough, that you can easily sit on your couch and play from far without any latency. You can even use micro usb cable to plug and play. Coming to the product I would say coming from logitech F510 controller to Xbox feels a bit different, while within 2-3 days you will get used to it. The grip is firm and the buttons are tactile. As far as batteries are concerned I purached Duracell 1200mah rechargeable batteries (got it for 300 bucks pack of 4 :D). These batteries normally gives backup of approx. 25-30 hrs for me (I normally play around 4-5 hrs a day). Also please remember the 3.5mm audio jack provided on controller works only with some earphones/headphones, if the jack really matters to you. Last but not least got this product at 3k at Amazon's great Indian festival. Highly recommended!!!
",4180.0
M@dy,3.0 out of 5 stars,"
These stars are just for the performance. It's really good. Analogue sticks are smooth unlike the 360 controllers and also buttons feel clicky. But, to my dissapointment, xbox does not provide warranty for their accessories. Just as a consolation, they provide 90 days warranty. I bought this and used for just 5 months. The buttons somehow stopped working.when i contacted xbox support they refused service as it was more than 90 days old. Hence, if u wanna save money and want to play games on pc only, go for logitech controllers. They are far better and also provide warranty.
",4180.0
Yash Joshi,1.0 out of 5 stars,"
I will not recommend this controller as the first time I was handed this controller by amazon, it was not working properly the controller stick was not working I replaced the product with new one within 2 days, and the other product they gave me stopped working after 7 months its motherboard got fused, spending so much money on controller and it doesn't even work for full 1 year is shameful, and amazon should look into this because many more people have suffered same with this product by now. So I will suggest buying this from some authentic shop through which you can have a warranty also.
",4180.0
Praky,5.0 out of 5 stars,"
I bought this to use with a PC. It is great that windows 10 has native support for the controller (both wireless and wired mode). Also, you don't need a wireless adapter for PC now (you connect via bluetooth). If you are concerned about battery just plug it in using a micro usb cable. It is probably the best controller for PC if price is not an issue.
",4180.0
Tushar T.,5.0 out of 5 stars,"
The controller is great if you are a pc gamer. I have ps4 and ds4 with it, so i used to play games with ds4 using ds4windows app. Well dualshock 4 is better than xb1 controller Because ds4 has inbuilt battery and its cheaper too. But this controller is compatible with all games ( like arkham Knight, sekiro etc.) and button prompt showing are xb1 controller's. You can play wired by using usb cable, but if you buy extra rechargeable batteries and charger for it then your collection is completed.Pros1. Comfortable and feels great in hands.2. Compatible with all games on pc.3. Easy to connect with pc.4. It's value for money if you compare it with msi, steam or asus controllers.Cons1. Doesn't has battery in it.2. Expensive than ds4 even though ds4 has inbuilt battery3. Buying extra rechargeable batteries and charger for it makes it 1.5 time expensive than ds4.4. Doesn't include usb cable with it.
",4180.0
Puneet sharma,1.0 out of 5 stars,"
Bought it in Feb 2019 and in Sep it started giving issues like LB, X and D-Pad not working. Contacted Microsoft and was told that as it's more than 90 days they can't replace or replace. I was like just taken aback by their attitude towards customers who invested 4000 INR and it's just a piece of plastic now. I ain't new to controllers as my both PS4 controllers work flawlessly from past 3 years. So if you wanna invest in poor quality and no customer service then yeah be my guest but there are better options available for far less.
",4180.0
Vishnu,5.0 out of 5 stars,"
I really love this controller, I mainly use it for my PC and play Single Player games with this. The buttons kinda gets loose, but you'll get use to it.... You don't need to use batteries to use this plugged in with a PC. So it works pretty well..... Loved it. Would recommend 10/10 . Also been using it for a month or so by now.
",4180.0
Pravar Prasad,5.0 out of 5 stars,"
Now I cannot stop myself playing all the rpg stuff I played with mouse and keyboard. I started playing Shadow of tomb rider, wow! What an experience. The vibration feedback is on point. For a while I felt that the controller was gonna fall apart.Pros:Haptic Feedback.Analogue stick.Shoulder buttons.ABXY buttons' tactility.The texture grip on back.Ergonomic design.Cons:Not rechargable.Little weaker D pad.Finally, I highly recommend this product if yoy are a hack and slash lover, an RPG lover, or even a RTS lover. Jus go for it..
",4180.0
Alexandre,5.0 out of 5 stars,"
Using it for my Xbox one. It runs just as any other good Xbox one controller does. Would recommend to buy it not only for the Xbox one but when playing you games on your computer. You can use your headphone with the wireless controller while having your TV on mute. That way other people don't get disturbed.
",4180.0
Aakash Prateek,1.0 out of 5 stars,"
It works so awsum while on cable...but on Bluetooth...it sucks...it is non returnable item on amazon even in delhi...and even Microsoft service centres won't take responsibility for it...so stuck with a 4000 wired gamepad
",4180.0
Simar Thind,5.0 out of 5 stars,"
This is a Genuine Microsoft xbox one controller with Bluetooth. Came with two duracell batteries. Working flawlessly as it connected very easily to my pc on windows 10. It even connected to my iphone x on ios 13. Very happy with the product.
",4180.0
Amith pai,5.0 out of 5 stars,"
my original controller was giving problems so bought this on amazon and have been using this over 2 years now , forgot to write a review then .. anyways i must say the controller is in gr8 shape even after rough use .. A must buy if u need a 2nd controller for ur xbox one
",4180.0
Charan,3.0 out of 5 stars,"
Writing after 9 months of usage.This controller works exactly the same way as your first controller that you got with your console at least for the first few months.After 3-4 months it starts to lag a bit , buttons ware off faster and axis callibration goes haywire. I confirmed that this is expected for a second controller as per my friends.Sadly though we don't have any other option.
",4180.0
Rohit,4.0 out of 5 stars,"
I wanted to buy a controller for gaming and I knew i would be going for this one only. Its a pretty decent controller from Microsoft and its perfectly fit in my hands and I love the placement of thumb sticks and the quality of triggers. I use this to play wirelessly using Bluetooth. It works fine but there are sometimes issues like I connected it wired and then when I tried connecting it wirelessly for some reason the Xbox button light switches off as soon as I unhold the button. To fix this I had to change the batteries and then it worked pretty fine. It has a good build quality and I really recommend it for gaming.
",4180.0
Amazon Customer,4.0 out of 5 stars,"
ProsPackaging was ok.Delivery was on timeProduct is original xbox one controller (for asia region)Works well with usb on pcConsCAUTION!! it requires bluetooth ver 4.0 , microsoft didnt mentioned it.It didnt worked with my bluetooth 2.0 dongle for pc.Worked with my laptop because it had bluetooth 4.0Warranty is less for such a costly controller
",4180.0
Niranjan,1.0 out of 5 stars,"
Don't go for bluetooth controller, better to buy logitech controller as they giver dedicated wirelss dongle for the device.
",4180.0
sivaraman,5.0 out of 5 stars,"
Wow original Xbox one s controller works fine with my original Xbox one.It was delivered on time.perfectly working.An Important Fact:It has 3.5mm jack,So if u have a head phone connected to it and if you have any games on Xbox one that support dolbly atmos but u may not having the system in home.if u have a head phone you can the dobly atmos at no cost I tried it and tested.Thanks Amazon for deliverying a good product
",4180.0
Infinity,3.0 out of 5 stars,"
I'm not sure if I received a genuine product but I'm quite disappointed with the new controller. The quality is not a good as my old Xbox 360 Controller, the plastic feels fragile and the XYAB (face buttons) feels way softer than my old Xbox 360 Controller, it feel as if the button are button are going to get stuck and makes a clacking noises whenever I press the buttons and the vibration feels a little broken sometimes when it vibrates hard. And the controller being a little expensive over the Xbox 360 Controller I expected a better quality from Microsoft but it kind of feels cheap. I would prefer a Xbox 360 Controller any day.
",4180.0
Kalpesh,5.0 out of 5 stars,"
I have faced no problems with this controller yet and it works very well. I have been using it with my PC with a usb cord and sometimes with bluetooth. I have not faced any input lags. The feedback from the controller has also been very precise. Works really well.
",4180.0
Rahul Hirondi,5.0 out of 5 stars,"
Well as of now i have been using this controller for past week and it's a real joy to play with the controller.It is almost compatible to every title you throw at it.Considering the beautiful design its gorgeous and fits well.. You can even use 3.5 mm jack headphones or earphones and it works fantastic even connected via usb or Bluetooth....A must go without any compromise.better than ps4 considering its compatibility with almost every pc game.. One cons is that the battery consumption is pretty high.. considering it doesnot connect 3.5 mm jack when you are connected with bluetooth.
",4180.0
Amazon Customer,5.0 out of 5 stars,"
good quality and good delivery service.
",4180.0
Ashish Harbola,5.0 out of 5 stars,"
Best controller for pc gaming with bluetooth, don't require dongle which cost 3000+ in india.
",4180.0
Ravi,5.0 out of 5 stars,"
I bought it for pc gaming. This one comes with bluetooth but do remember YOU NEED A BLUETOOTH 4.0 OR HIGHER TO CONNECT.I have a ps4 controller as well as this but this one is far superior due to the fact that it does not require any third party software. Use it with Bluetooth or a micro USB cable
",4180.0
Ashish kumar,5.0 out of 5 stars,"
Best game controller for playing games on the pc/laptop.Connects automatically to pc/laptop once connected.Has vibrators that vibrates and gives a real experiance.Also it has very gud design and holding in hands is easy or you can say comfortable.
",4180.0
Jinit Ayer,5.0 out of 5 stars,"
xBox Controllers are the best for gaming because of the grip and comfort they offer. Everything is placed perfectly! The joystick is closer to the thumbs as all games now are played on joysticks and not arrow keys. The PlayStation DualShock Controllers are not ideal for the grip and comfort so the third party companies make xBox like PlayStation controllers.
",4180.0
Arjun,5.0 out of 5 stars,"
It just connected easily with my laptop via bluetooth and there's no lag. The buttons all feels very good and the ergonomics of the controller is also comfortable. Feedback is good it improves the game experience.
",4180.0
Vijay j,3.0 out of 5 stars,"
Received Faulty Product out of the box, LB button is unclickable. I raised return request to Amazon.Update: Received refund from Amazon, great customer service.Still keeping 3 stars as it is possible for everyone to receive such product.
",4180.0
Danyal,1.0 out of 5 stars,"
Stopped working after 3-4 months.! Is that long how this remote is supposed to last..! Seriously Microsoft ur quality sucks waste of money..
",4180.0
Krishanu J.,5.0 out of 5 stars,"
Undisputedly the best controller money can buy. Works flawlessly with Bluetooth 4.0 on Windows 10 and  Android devices. Zero latency with all types of connections.
",4180.0
OfficialNVNS,5.0 out of 5 stars,"
The best price i could find on the internet.Great controller just like one that came with the one s also works with windows over bluetoothDont buy play and charge kit just use rechargable AA battries both does the same job but for much less cost
",4180.0
Suhail Chowdhury,4.0 out of 5 stars,"
If you're confused between choosing a wireless controller or wire controller. You should definitely go for the wireless one. One push of a button & there you go. Lately i have been playing Fifa 19 and i kind of felt that the direction button sometime dosen't work properly. Other than that its a good product. Also you can go for the PS4 pro controller if you want a lil smaller.
",4180.0
GS,5.0 out of 5 stars,"
Got this one as a secondary controller for xbox one since I was planning try multiplayer games. As usual amazon was quick in delivering and was happy to receive at a reduced cost thanks to credit card offers. This is an original product and extremely happy with its performance
",4180.0
Rahul,5.0 out of 5 stars,"
The only controller worth buying. Perfect for pc gaming. Don't worry about the price. I have used other budget controllers_(priced around Rs. 2000) but they all malfunctioned after a short time. The best feature is that it runs on both batteries and can be operated connected to the pc using a usb cable.
",4180.0
Siddharth M,5.0 out of 5 stars,"
Genuine product received so thanks to the seller. I was playing game on my windows 10 by connecting PS4 controller and I can clearly feel the difference now. Connecting to windows 10 is quite easy, just pair the controller with bluetooth of your lappie.
",4180.0
QWERTVE,5.0 out of 5 stars,"
If you are a pc gamer and you want to play pc games with a controller then this the one U need to go to...It's easy to connect looks amazing and the experience is amazing. Though PC gamers prefer keyboard and mouse but I bet once you use this there no going back.
",4180.0
Ashwin,5.0 out of 5 stars,"
Works as advertised. Got original product instead of duplicate which is an achievement in Amazon. Ergonomic and easy to use.
",4180.0
Suryansh Patel,4.0 out of 5 stars,"
Nice controller, best triggers in any controller, best ergonomics in any controller. The bumper buttons are fragile, both of my xbox one s controllers have broken bumper buttons, and I'm not a rough user at all, I use em with care, but the trigger mechanics in fhe bumper button just sucks, the plastic is fragile. Overall great controller.
",4180.0
Aman Arora,5.0 out of 5 stars,"
The wireless connectivity is seemless. No lag of any sort. Been using it for 10 days and haven't faced any problem whatsoever. Excellent and a 100% genuine product.I'd update this if any problem occurs.
",4180.0
Arpit Sharma,3.0 out of 5 stars,"
Good product but it end up with X button not working. Felt bad because it isn't that cheap and just used for casual gaming and all. Sorry not buying this again.
",4180.0
Satish,5.0 out of 5 stars,"
Fully Satisfied...Pros:Perfectly compatible with windows10.No need to install any drivers.It's supports vibration function for almost all games.You can use your mobile charger(non type C) as a cable for this controller.Controller has a inbuilt 3.5 mm Jack.Cons:Expensive..compared with built quality
",4180.0
Darpan Shrivastava,4.0 out of 5 stars,"
Just got this in the morning....superb service by amazon..... controller has a nice feel to it.... connected via Bluetooth seamlessly and without any problems...just as easy as connecting a Bluetooth speaker.Giving 4 stars just because i dont know how much will the battery consumption be...
",4180.0
Abidwarakesh Saravanakumar,5.0 out of 5 stars,"
Battery drains often. Otherwise the best controller out there. Works with any PC game and does not need any separate bluetooth dongle/reciever to work. Just press the small button on the top and it automatically connects to your PC. Must buy for every gamer.
",4180.0
Janak Arora,1.0 out of 5 stars,"
This product is not working properly very sad after paying and within a week it's spoiltOnce we attach the headset the other person cannot hear us.Initially we  thought it's a fault' with our headset that's why didn't ask for returns so yesterday I purchased a new wireless gaming set but facing the same issue. In the online gaming games the opposite person cannot hear usCan something be done
",4180.0
Kamal,5.0 out of 5 stars,"
Fast and reliable delivery by Amazon. Works really well with Windows 10 PCs. Got recognized and installed within a minute.
",4180.0
Sam Paul,5.0 out of 5 stars,"
Gaming regularly for over a decade, I have used so many gaming controllers. PS2, PS3, PS4, Thrustmaster, Logitech, XBox 360 and many more... I'd would say this is the best controller for gaming on PC.
",4180.0
Sutanu Saha,5.0 out of 5 stars,"
Awesome product.nive bluetooth range and battery life.i am same battery using 30 days after purchasing this.i used offenly..awesome power saver option if u dont use it, its automatically switch off afyer few minutes.
",4180.0
alok singh,5.0 out of 5 stars,"
seems like an original product.very well built and sturdy.looks are gorgeous and working perfectly till now.
",4180.0
